From,To,Relation,Relation_details,Actor_A_OCgroupmemberships,Actor_B_OCgroupmemberships
1,428,Co-Offenders,btb selling cocaine,G45,NONE
1,443,Legitimate,Associate,G45,NONE
1,1068,Legitimate,Associate,G45,NONE
1,1944,Legitimate,bt purchase property together in the US,G45,NONE
1,2034,Legitimate,used to be in business together,G45,NONE
1,542,Legitimate,btb associate,G45,G2
1,680,Co-Offenders,bt sell cocaine,G45,G45
1,0,Kinship,Nephew/Uncle,G45,G45
1,680,Kinship,Son/Mother,G45,G45
1,237,Legitimate,Associate,G45,G9
5,1735,Co-Offenders,"Cocaine Rip, Shooting",G175,G175
5,1735,Formal Criminal Organization,Enemies,G175,G175
6,5,Co-Offenders,"debt collection, drugs, home invasions, extortion & kidnapping",G175,G175
6,5,Kinship,Brothers,G175,G175
11,218,Legitimate,btb personal associate,G9,G9
11,218,Formal Criminal Organization,,G9,G9
17,1731,Legitimate,associate,"G73, G131",G110
17,1980,Legitimate,Associate,"G73, G131",G110
18,114,Co-Offenders,,"G73, G131",NONE
18,516,Legitimate,Former Associate,"G73, G131",NONE
18,720,Legitimate,Former Associate,"G73, G131",NONE
18,858,Legitimate,Former Associate,"G73, G131",NONE
18,987,Formal Criminal Organization,in a dispute with group,"G73, G131",NONE
18,1967,Co-Offenders,Same Cell,"G73, G131",NONE
18,272,Formal Criminal Organization,in a dispute with group,"G73, G131",G122
18,522,Co-Offenders,Same Cell,"G73, G131",G131
18,17,Co-Offenders,,"G73, G131","G73, G131"
18,17,Kinship,brother,"G73, G131","G73, G131"
21,1980,Co-Offenders,working together re drugs,G183,G110
21,4,Co-Offenders,"Kidnappings, debt collection, drug rips & robberies",G183,G183
21,82,Co-Offenders,"Kidnappings, debt collection, drug rips & robberies",G183,G183
21,151,Co-Offenders,"Kidnappings, debt collection, drug rips & robberies",G183,G183
21,526,Co-Offenders,"Kidnappings, debt collection, drug rips & robberies",G183,G183
21,695,Co-Offenders,"Kidnappings, debt collection, drug rips & robberies",G183,G183
21,768,Co-Offenders,"Kidnappings, debt collection, drug rips & robberies",G183,G183
21,775,Co-Offenders,"Kidnappings, debt collection, drug rips & robberies",G183,G183
21,808,Co-Offenders,"Kidnappings, debt collection, drug rips & robberies",G183,G183
21,1343,Co-Offenders,"Kidnappings, debt collection, drug rips & robberies",G183,G183
21,1411,Co-Offenders,"Kidnappings, debt collection, drug rips & robberies",G183,G183
21,1617,Co-Offenders,"Kidnappings, debt collection, drug rips & robberies",G183,G183
21,1781,Co-Offenders,"Kidnappings, debt collection, drug rips & robberies",G183,G183
21,20,Co-Offenders,possession of narcotics,G183,G183
21,4,Formal Criminal Organization,,G183,G183
21,20,Formal Criminal Organization,,G183,G183
21,82,Formal Criminal Organization,,G183,G183
21,151,Formal Criminal Organization,,G183,G183
21,526,Formal Criminal Organization,,G183,G183
21,695,Formal Criminal Organization,,G183,G183
21,768,Formal Criminal Organization,,G183,G183
21,775,Formal Criminal Organization,,G183,G183
21,808,Formal Criminal Organization,,G183,G183
21,1343,Formal Criminal Organization,,G183,G183
